,Column,year,id,artist and album name,release format,label,genre,subgenre,want,have
135159,74309,2020,16005797,"Elvis* - Toledo Saturday Night (April 23rd, 1977)",CD,"Not On Label (Elvis Presley), Matrix Recording, University Of Toledo, Ohio","Rock, Pop, Stage & Screen","Ballad, Rock & Roll",5,9
135160,74309,2020,16005797,"Elvis* - Toledo Saturday Night (April 23rd, 1977)",Compilation,"Not On Label (Elvis Presley), Matrix Recording, University Of Toledo, Ohio","Rock, Pop, Stage & Screen","Ballad, Rock & Roll",5,9
135161,74309,2020,16005797,"Elvis* - Toledo Saturday Night (April 23rd, 1977)",Unofficial Release,"Not On Label (Elvis Presley), Matrix Recording, University Of Toledo, Ohio","Rock, Pop, Stage & Screen","Ballad, Rock & Roll",5,9
135172,74312,2020,16453845,Elvis Presley - Country Ballads 1967-1977.....and Continued,CD,Not On Label (Elvis Presley),"Rock, Pop","Rock & Roll, Ballad",5,8
135173,74312,2020,16453845,Elvis Presley - Country Ballads 1967-1977.....and Continued,Compilation,Not On Label (Elvis Presley),"Rock, Pop","Rock & Roll, Ballad",5,8
135174,74312,2020,16453845,Elvis Presley - Country Ballads 1967-1977.....and Continued,Unofficial Release,Not On Label (Elvis Presley),"Rock, Pop","Rock & Roll, Ballad",5,8
135175,74313,2020,16005708,Elvis* - At 42 - Still Dazzles Fans,CD,"Not On Label (Elvis Presley), Matrix Recording, Crisler Arena, Duluth Arena","Rock, Pop, Stage & Screen","Ballad, Rock & Roll",5,10
135176,74313,2020,16005708,Elvis* - At 42 - Still Dazzles Fans,Compilation,"Not On Label (Elvis Presley), Matrix Recording, Crisler Arena, Duluth Arena","Rock, Pop, Stage & Screen","Ballad, Rock & Roll",5,10
135177,74313,2020,16005708,Elvis* - At 42 - Still Dazzles Fans,Unofficial Release,"Not On Label (Elvis Presley), Matrix Recording, Crisler Arena, Duluth Arena","Rock, Pop, Stage & Screen","Ballad, Rock & Roll",5,10
135204,74319,2020,16415679,Elvis Presley - Memphis Outtakes,CD,Not On Label (Elvis Presley),"Rock, Pop","Rock & Roll, Ballad",8,14
135205,74319,2020,16415679,Elvis Presley - Memphis Outtakes,Compilation,Not On Label (Elvis Presley),"Rock, Pop","Rock & Roll, Ballad",8,14
135206,74319,2020,16415679,Elvis Presley - Memphis Outtakes,Unofficial Release,Not On Label (Elvis Presley),"Rock, Pop","Rock & Roll, Ballad",8,14
135402,74368,2020,14728617,Drew Monson - Some Other Light,Vinyl,"Second City Prints, Not On Label","Electronic, Pop","Vocal, Ballad",40,67
135403,74368,2020,14728617,Drew Monson - Some Other Light,"12""","Second City Prints, Not On Label","Electronic, Pop","Vocal, Ballad",40,67
135404,74368,2020,14728617,Drew Monson - Some Other Light,33 ⅓ RPM,"Second City Prints, Not On Label","Electronic, Pop","Vocal, Ballad",40,67
135405,74368,2020,14728617,Drew Monson - Some Other Light,Single Sided,"Second City Prints, Not On Label","Electronic, Pop","Vocal, Ballad",40,67
135406,74368,2020,14728617,Drew Monson - Some Other Light,EP,"Second City Prints, Not On Label","Electronic, Pop","Vocal, Ballad",40,67
135407,74368,2020,14728617,Drew Monson - Some Other Light,Etched,"Second City Prints, Not On Label","Electronic, Pop","Vocal, Ballad",40,67
135419,74374,2020,19430809,Drew Monson - Some Other Light,Vinyl,"Second City Prints, Not On Label","Electronic, Pop","Vocal, Ballad",18,34
135420,74374,2020,19430809,Drew Monson - Some Other Light,"12""","Second City Prints, Not On Label","Electronic, Pop","Vocal, Ballad",18,34
135421,74374,2020,19430809,Drew Monson - Some Other Light,33 ⅓ RPM,"Second City Prints, Not On Label","Electronic, Pop","Vocal, Ballad",18,34
135422,74374,2020,19430809,Drew Monson - Some Other Light,Single Sided,"Second City Prints, Not On Label","Electronic, Pop","Vocal, Ballad",18,34
135423,74374,2020,19430809,Drew Monson - Some Other Light,EP,"Second City Prints, Not On Label","Electronic, Pop","Vocal, Ballad",18,34
135424,74374,2020,19430809,Drew Monson - Some Other Light,Etched,"Second City Prints, Not On Label","Electronic, Pop","Vocal, Ballad",18,34
